time_s,temperature_C,energy_kJ
869.0,32.0,174.0
870.0,32.0,174.2
871.0,32.0,174.4
872.0,32.0,174.6
873.0,32.0,174.8
874.0,32.0,175.0
875.0,32.0,175.2
876.0,32.0,175.4
877.0,32.0,175.6
878.0,32.0,175.8
879.0,32.0,176.0
880.0,32.0,176.2
881.0,32.0,176.4
882.0,32.0,176.6
883.0,32.0,176.8
884.0,32.0,177.0
885.0,32.0,177.2
886.0,32.0,177.4
887.0,32.0,177.6
888.0,32.0,177.8
889.0,32.0,178.0
890.0,32.0,178.2
891.0,32.0,178.4
892.0,32.0,178.6
893.0,32.0,178.8
894.0,32.0,179.0
895.0,32.0,179.2
896.0,32.0,179.4
897.0,32.0,179.6
898.0,32.0,179.8
899.0,32.0,180.0
900.0,32.0,180.2
901.0,32.0,180.4
902.0,32.0,180.6
903.0,32.0,180.8
904.0,32.0,181.0
905.0,32.0,181.2
906.0,32.0,181.4
907.0,32.0,181.6
908.0,32.0,181.8
909.0,32.0,182.0
910.0,32.0,182.2
911.0,32.0,182.4
912.0,32.0,182.6
913.0,32.0,182.8
914.0,32.0,183.0
915.0,32.0,183.2
916.0,32.0,183.4
917.0,32.0,183.6
918.0,32.0,183.8
919.0,32.0,184.0
920.0,32.0,184.2
921.0,32.0,184.4
922.0,32.0,184.6
923.0,32.0,184.8
924.0,32.0,185.0
925.0,32.0,185.2
926.0,32.0,185.4
927.0,32.0,185.6
928.0,32.0,185.8
929.0,32.0,186.0
930.0,32.0,186.2
931.0,32.0,186.4
932.0,32.0,186.6
933.0,32.0,186.8
934.0,32.0,187.0
935.0,32.0,187.2
936.0,32.0,187.4
937.0,32.0,187.6
938.0,32.0,187.8
939.0,32.0,188.0
940.0,32.0,188.2
941.0,32.0,188.4
942.0,32.0,188.6
943.0,32.0,188.8
944.0,32.0,189.0
945.0,32.0,189.2
946.0,32.0,189.4
947.0,32.0,189.6
948.0,32.0,189.8
949.0,32.0,190.0
950.0,32.0,190.2
951.0,32.0,190.4
952.0,32.0,190.6
953.0,32.0,190.8
954.0,32.0,191.0
955.0,32.0,191.2
956.0,32.0,191.4
957.0,32.0,191.6
958.0,32.0,191.8
959.0,32.0,192.0
960.0,32.0,192.2
961.0,32.0,192.4
962.0,32.0,192.6
963.0,32.0,192.8
964.0,32.0,193.0
965.0,32.0,193.2
966.0,32.0,193.4
967.0,32.0,193.6
968.0,32.0,193.8
969.0,32.0,194.0
970.0,32.0,194.2
971.0,32.0,194.4
972.0,32.0,194.6
973.0,32.0,194.8
974.0,32.0,195.0
975.0,32.0,195.2
976.0,32.0,195.4
977.0,32.0,195.6
978.0,32.0,195.8
979.0,32.0,196.0
980.0,32.0,196.2
981.0,32.0,196.4
982.0,32.0,196.6
983.0,32.0,196.8
984.0,32.0,197.0
985.0,32.0,197.2
986.0,32.0,197.4
987.0,32.0,197.6
988.0,32.0,197.8
989.0,32.0,198.0
990.0,32.0,198.2
991.0,32.0,198.4
992.0,32.0,198.6
993.0,32.0,198.8
994.0,32.0,199.0
995.0,32.0,199.2
996.0,32.0,199.4
997.0,32.0,199.6
998.0,32.0,199.8
999.0,32.0,200.0
1000.0,32.0,200.2
1001.0,32.0,200.4
1002.0,32.0,200.6
1003.0,32.0,200.8
1004.0,32.0,201.0
1005.0,32.0,201.2
1006.0,32.0,201.4
1007.0,32.0,201.6
1008.0,32.0,201.8
1009.0,32.0,202.0
1010.0,32.0,202.2
1011.0,32.0,202.4
1012.0,32.0,202.6
1013.0,32.0,202.8
1014.0,32.0,203.0
1015.0,32.0,203.2
1016.0,32.0,203.4
1017.0,32.0,203.6
1018.0,32.0,203.8
1019.0,32.0,204.0
1020.0,32.0,204.2
1021.0,32.0,204.4
1022.0,32.0,204.6
1023.0,32.0,204.8
1024.0,32.0,205.0
1025.0,32.0,205.2
1026.0,32.0,205.4
1027.0,32.0,205.6
1028.0,32.0,205.8
1029.0,32.0,206.0
1030.0,32.0,206.2
1031.0,32.0,206.4
1032.0,32.0,206.6
1033.0,32.0,206.8
1034.0,32.0,207.0
1035.0,32.0,207.2
1036.0,32.0,207.4
1037.0,32.0,207.6
1038.0,32.0,207.8
1039.0,32.0,208.0
1040.0,32.0,208.2
1041.0,32.0,208.4
1042.0,32.0,208.6
1043.0,32.0,208.8
1044.0,32.0,209.0
1045.0,32.0,209.2
1046.0,32.0,209.4
1047.0,32.0,209.6
1048.0,32.0,209.8
1049.0,32.0,210.0
1050.0,32.0,210.2
1051.0,32.0,210.4
1052.0,32.0,210.6
1053.0,32.0,210.8
1054.0,32.0,211.0
1055.0,32.0,211.2
1056.0,32.0,211.4
1057.0,32.0,211.6
1058.0,32.0,211.8
1059.0,32.0,212.0
1060.0,32.0,212.2
1061.0,32.0,212.4
1062.0,32.0,212.6
1063.0,32.0,212.8
1064.0,32.0,213.0
1065.0,32.0,213.2
1066.0,32.0,213.4
1067.0,32.0,213.6
1068.0,32.0,213.8
1069.0,32.0,214.0
1070.0,32.0,214.2
1071.0,32.0,214.4
1072.0,32.0,214.6
1073.0,32.0,214.8
1074.0,32.0,215.0
1075.0,32.0,215.2
1076.0,32.0,215.4
1077.0,32.0,215.6
1078.0,32.0,215.8
1079.0,32.0,216.0
1080.0,32.0,216.2
1081.0,32.0,216.4
1082.0,32.0,216.6
1083.0,32.0,216.8
1084.0,32.0,217.0
1085.0,32.0,217.2
1086.0,32.0,217.4
1087.0,32.0,217.6
1088.0,32.0,217.8
1089.0,32.0,218.0
1090.0,32.0,218.2
1091.0,32.0,218.4
1092.0,32.0,218.6
1093.0,32.0,218.8
1094.0,32.0,219.0
1095.0,32.0,219.2
1096.0,32.0,219.4
1097.0,32.0,219.6
1098.0,32.0,219.8
1099.0,32.0,220.0
1100.0,32.0,220.2
1101.0,32.0,220.4
1102.0,32.0,220.6
1103.0,32.0,220.8
1104.0,32.0,221.0
1105.0,32.0,221.2
1106.0,32.0,221.4
1107.0,32.0,221.6
1108.0,32.0,221.8
1109.0,32.0,222.0
1110.0,32.0,222.2
1111.0,32.0,222.4
1112.0,32.0,222.6
1113.0,32.0,222.8
1114.0,32.0,223.0
1115.0,32.0,223.2
1116.0,32.0,223.4
1117.0,32.0,223.6
1118.0,32.0,223.8
1119.0,32.0,224.0
1120.0,32.0,224.2
1121.0,32.0,224.4
1122.0,32.0,224.6
1123.0,32.0,224.8
1124.0,32.0,225.0
1125.0,32.0,225.2
1126.0,32.0,225.4
1127.0,32.0,225.6
1128.0,32.0,225.8
1129.0,32.0,226.0
1130.0,32.0,226.2
1131.0,32.0,226.4
